
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    127.0.0.1[本机地址]:64768        127.0.0.1[本机地址]:64769        ESTABLISHED     5832
  TCP    127.0.0.1[本机地址]:64769        127.0.0.1[本机地址]:64768        ESTABLISHED     5832
  TCP    127.0.0.1[本机地址]:64770        127.0.0.1[本机地址]:64771        ESTABLISHED     5832
  TCP    127.0.0.1[本机地址]:64771        127.0.0.1[本机地址]:64770        ESTABLISHED     5832
  TCP    127.0.0.1[本机地址]:64821        127.0.0.1[本机地址]:64822        ESTABLISHED     5832
  TCP    127.0.0.1[本机地址]:64822        127.0.0.1[本机地址]:64821        ESTABLISHED     5832
  TCP    [::]:21                [::]:0                 LISTENING       1176
  TCP    [::]:80                [::]:0                 LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       568
  TCP    [::]:443               [::]:0                 LISTENING       4
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:888               [::]:0                 LISTENING       4
  TCP    [::]:3389              [::]:0                 LISTENING       2244
  TCP    [::]:5985              [::]:0                 LISTENING       4
  TCP    [::]:6060              [::]:0                 LISTENING       3308
  TCP    [::]:8888              [::]:0                 LISTENING       4984
  TCP    [::]:47001             [::]:0                 LISTENING       4
  TCP    [::]:49152             [::]:0                 LISTENING       380
  TCP    [::]:49153             [::]:0                 LISTENING       676
  TCP    [::]:49154             [::]:0                 LISTENING       712
  TCP    [::]:49155             [::]:0                 LISTENING       1340
  TCP    [::]:49160             [::]:0                 LISTENING       472
  TCP    [::]:49192             [::]:0                 LISTENING       464
  TCP    [::1]:14147            [::]:0                 LISTENING       1176
  UDP    0.0.0.0[IANA]:123            *:*                                    760
  UDP    0.0.0.0[IANA]:500            *:*                                    712
  UDP    0.0.0.0[IANA]:3389           *:*                                    2244
  UDP    0.0.0.0[IANA]:4500           *:*                                    712
  UDP    0.0.0.0[IANA]:5355           *:*                                    844
  UDP    10.0.24.15[局域网]:137         *:*                                    4
  UDP    10.0.24.15[局域网]:138         *:*                                    4
  UDP    [::]:123               *:*                                    760
  UDP    [::]:500               *:*                                    712
  UDP    [::]:3389              *:*                                    2244
  UDP    [::]:4500              *:*                                    712
  UDP    [::]:5355              *:*                                    844
